battery_id,n0,model,life,fit_success,b_at_lower_bound,c_near_bound,finite_scenarios,structural_life_min,structural_life_median,structural_life_max,structural_relative_span_percent
10,31,power,2706.221589472919,True,False,False,15,1501.0011996114902,2333.0899529791686,8676.13323666709,307.5377367209324
10,31,centered_quadratic,1825.7105031130159,True,False,False,15,1501.0011996114902,2333.0899529791686,8676.13323666709,307.5377367209324
10,41,linear,7745.238045412138,True,False,False,15,1501.0011996114902,2333.0899529791686,8676.13323666709,307.5377367209324
10,41,power,2366.79497112498,True,False,False,15,1501.0011996114902,2333.0899529791686,8676.13323666709,307.5377367209324
10,41,centered_quadratic,1738.4017212978044,True,False,False,15,1501.0011996114902,2333.0899529791686,8676.13323666709,307.5377367209324
10,51,linear,7591.307655789945,True,False,False,15,1501.0011996114902,2333.0899529791686,8676.13323666709,307.5377367209324
10,51,power,2240.372454765435,True,False,False,15,1501.0011996114902,2333.0899529791686,8676.13323666709,307.5377367209324
10,51,centered_quadratic,1714.0894979954041,True,False,False,15,1501.0011996114902,2333.0899529791686,8676.13323666709,307.5377367209324
11,11,linear,7846.539779548562,True,False,False,15,2051.144869124888,4647.704181694373,7846.539779548562,124.69371293572513
11,11,power,3530.730630965442,True,False,False,15,2051.144869124888,4647.704181694373,7846.539779548562,124.69371293572513
11,11,centered_quadratic,2051.144869124888,True,False,False,15,2051.144869124888,4647.704181694373,7846.539779548562,124.69371293572513
11,21,linear,7583.415416491738,True,False,False,15,2051.144869124888,4647.704181694373,7846.539779548562,124.69371293572513
11,21,power,4647.704181694373,True,False,False,15,2051.144869124888,4647.704181694373,7846.539779548562,124.69371293572513
11,21,centered_quadratic,2519.8449661616582,True,False,False,15,2051.144869124888,4647.704181694373,7846.539779548562,124.69371293572513
11,31,linear,7442.569323143139,True,False,False,15,2051.144869124888,4647.704181694373,7846.539779548562,124.69371293572513
11,31,power,5868.834686373935,True,False,False,15,2051.144869124888,4647.704181694373,7846.539779548562,124.69371293572513
11,31,centered_quadratic,3093.4607225347227,True,False,False,15,2051.144869124888,4647.704181694373,7846.539779548562,124.69371293572513
11,41,linear,7471.070924055535,True,False,False,15,2051.144869124888,4647.704181694373,7846.539779548562,124.69371293572513
11,41,power,4709.631844812373,True,False,False,15,2051.144869124888,4647.704181694373,7846.539779548562,124.69371293572513
11,41,centered_quadratic,2575.5977273521753,True,False,False,15,2051.144869124888,4647.704181694373,7846.539779548562,124.69371293572513
11,51,linear,7474.758101755019,True,False,False,15,2051.144869124888,4647.704181694373,7846.539779548562,124.69371293572513
11,51,power,3801.352345135533,True,False,False,15,2051.144869124888,4647.704181694373,7846.539779548562,124.69371293572513
11,51,centered_quadratic,2258.3781000370273,True,False,False,15,2051.144869124888,4647.704181694373,7846.539779548562,124.69371293572513
14,11,linear,10197.474676359268,True,False,False,15,1649.4227585365024,3393.9851168451287,10197.474676359268,251.85885098307645
14,11,power,2119.8266289057738,True,False,False,15,1649.4227585365024,3393.9851168451287,10197.474676359268,251.85885098307645
14,11,centered_quadratic,1649.4227585365024,True,False,False,15,1649.4227585365024,3393.9851168451287,10197.474676359268,251.85885098307645
14,21,linear,9565.493705818524,True,False,False,15,1649.4227585365024,3393.9851168451287,10197.474676359268,251.85885098307645
14,21,power,2760.886534132517,True,False,False,15,1649.4227585365024,3393.9851168451287,10197.474676359268,251.85885098307645
14,21,centered_quadratic,1882.2348957156019,True,False,False,15,1649.4227585365024,3393.9851168451287,10197.474676359268,251.85885098307645
14,31,linear,9139.342689314124,True,False,False,15,1649.4227585365024,3393.9851168451287,10197.474676359268,251.85885098307645
14,31,power,3694.9070655078995,True,False,False,15,1649.4227585365024,3393.9851168451287,10197.474676359268,251.85885098307645
14,31,centered_quadratic,2206.1519204954266,True,False,False,15,1649.4227585365024,3393.9851168451287,10197.474676359268,251.85885098307645
14,41,linear,8994.937658970051,True,False,False,15,1649.4227585365024,3393.9851168451287,10197.474676359268,251.85885098307645
14,41,power,3620.2969791477417,True,False,False,15,1649.4227585365024,3393.9851168451287,10197.474676359268,251.85885098307645
14,41,centered_quadratic,2214.141812204092,True,False,False,15,1649.4227585365024,3393.9851168451287,10197.474676359268,251.85885098307645
14,51,linear,8881.740867565495,True,False,False,15,1649.4227585365024,3393.9851168451287,10197.474676359268,251.85885098307645
14,51,power,3393.9851168451287,True,False,False,15,1649.4227585365024,3393.9851168451287,10197.474676359268,251.85885098307645
14,51,centered_quadratic,2168.0253884799863,True,False,False,15,1649.4227585365024,3393.9851168451287,10197.474676359268,251.85885098307645
16,11,linear,1041.8416101009175,True,False,False,15,862.3387048974839,978.7144391219203,1042.1049578769675,18.367589747706766
16,11,power,1003.3238298100175,True,False,False,15,862.3387048974839,978.7144391219203,1042.1049578769675,18.367589747706766
16,11,centered_quadratic,923.1948496975067,True,False,False,15,862.3387048974839,978.7144391219203,1042.1049578769675,18.367589747706766
16,21,linear,1042.1049578769675,True,False,False,15,862.3387048974839,978.7144391219203,1042.1049578769675,18.367589747706766
16,21,power,981.3994906564757,True,False,False,15,862.3387048974839,978.7144391219203,1042.1049578769675,18.367589747706766
16,21,centered_quadratic,893.0735409164021,True,False,False,15,862.3387048974839,978.7144391219203,1042.1049578769675,18.367589747706766
16,31,linear,1039.9595505324444,True,False,False,15,862.3387048974839,978.7144391219203,1042.1049578769675,18.367589747706766
16,31,power,978.7144391219203,True,False,False,15,862.3387048974839,978.7144391219203,1042.1049578769675,18.367589747706766
16,31,centered_quadratic,892.5333401038077,True,False,False,15,862.3387048974839,978.7144391219203,1042.1049578769675,18.367589747706766
16,41,linear,1039.3000914579998,True,False,False,15,862.3387048974839,978.7144391219203,1042.1049578769675,18.367589747706766
16,41,power,958.750052661824,True,False,False,15,862.3387048974839,978.7144391219203,1042.1049578769675,18.367589747706766
16,41,centered_quadratic,868.1310655823222,True,False,False,15,862.3387048974839,978.7144391219203,1042.1049578769675,18.367589747706766
16,51,linear,1036.8843389329163,True,False,False,15,862.3387048974839,978.7144391219203,1042.1049578769675,18.367589747706766
16,51,power,951.8050456649123,True,False,False,15,862.3387048974839,978.7144391219203,1042.1049578769675,18.367589747706766
16,51,centered_quadratic,862.3387048974839,True,False,False,15,862.3387048974839,978.7144391219203,1042.1049578769675,18.367589747706766
24,11,linear,10110.47949921952,True,False,False,15,1410.8833606415799,2565.9752710777175,10110.47949921952,339.03663206091943
24,11,power,1532.937641250918,True,False,False,15,1410.8833606415799,2565.9752710777175,10110.47949921952,339.03663206091943
24,11,centered_quadratic,1410.8833606415799,True,False,False,15,1410.8833606415799,2565.9752710777175,10110.47949921952,339.03663206091943
24,21,linear,9232.18933159064,True,False,False,15,1410.8833606415799,2565.9752710777175,10110.47949921952,339.03663206091943
24,21,power,2054.302659102474,True,False,False,15,1410.8833606415799,2565.9752710777175,10110.47949921952,339.03663206091943
24,21,centered_quadratic,1619.191889296454,True,False,False,15,1410.8833606415799,2565.9752710777175,10110.47949921952,339.03663206091943
24,31,linear,8736.162521534807,True,False,False,15,1410.8833606415799,2565.9752710777175,10110.47949921952,339.03663206091943
24,31,power,2565.9752710777175,True,False,False,15,1410.8833606415799,2565.9752710777175,10110.47949921952,339.03663206091943
24,31,centered_quadratic,1815.2313493086758,True,False,False,15,1410.8833606415799,2565.9752710777175,10110.47949921952,339.03663206091943
24,41,linear,8377.58152264328,True,False,False,15,1410.8833606415799,2565.9752710777175,10110.47949921952,339.03663206091943
24,41,power,3255.4809477562494,True,False,False,15,1410.8833606415799,2565.9752710777175,10110.47949921952,339.03663206091943
24,41,centered_quadratic,2081.242477747508,True,False,False,15,1410.8833606415799,2565.9752710777175,10110.47949921952,339.03663206091943
24,51,linear,8133.310172768163,True,False,False,15,1410.8833606415799,2565.9752710777175,10110.47949921952,339.03663206091943
24,51,power,4217.388057226622,True,False,False,15,1410.8833606415799,2565.9752710777175,10110.47949921952,339.03663206091943
24,51,centered_quadratic,2468.6042832973144,True,False,False,15,1410.8833606415799,2565.9752710777175,10110.47949921952,339.03663206091943
25,11,linear,8424.724247862396,True,False,False,15,1568.0328980269544,2511.415556816287,8424.724247862396,273.0209793925003
25,11,power,2062.153927418268,True,False,False,15,1568.0328980269544,2511.415556816287,8424.724247862396,273.0209793925003
25,11,centered_quadratic,1568.0328980269544,True,False,False,15,1568.0328980269544,2511.415556816287,8424.724247862396,273.0209793925003
25,21,linear,7959.807580661832,True,False,False,15,1568.0328980269544,2511.415556816287,8424.724247862396,273.0209793925003
25,21,power,2681.784287404708,True,False,False,15,1568.0328980269544,2511.415556816287,8424.724247862396,273.0209793925003
25,21,centered_quadratic,1788.0867787151394,True,False,False,15,1568.0328980269544,2511.415556816287,8424.724247862396,273.0209793925003
25,31,linear,7755.785797369825,True,False,False,15,1568.0328980269544,2511.415556816287,8424.724247862396,273.0209793925003
25,31,power,2795.02004814714,True,False,False,15,1568.0328980269544,2511.415556816287,8424.724247862396,273.0209793925003
25,31,centered_quadratic,1846.3758611042874,True,False,False,15,1568.0328980269544,2511.415556816287,8424.724247862396,273.0209793925003
25,41,linear,7645.091216815519,True,False,False,15,1568.0328980269544,2511.415556816287,8424.724247862396,273.0209793925003
25,41,power,2511.415556816287,True,False,False,15,1568.0328980269544,2511.415556816287,8424.724247862396,273.0209793925003
25,41,centered_quadratic,1782.2643944640274,True,False,False,15,1568.0328980269544,2511.415556816287,8424.724247862396,273.0209793925003
25,51,linear,7512.840226036724,True,False,False,15,1568.0328980269544,2511.415556816287,8424.724247862396,273.0209793925003
25,51,power,2328.8434831066993,True,False,False,15,1568.0328980269544,2511.415556816287,8424.724247862396,273.0209793925003
25,51,centered_quadratic,1746.1407459852326,True,False,False,15,1568.0328980269544,2511.415556816287,8424.724247862396,273.0209793925003
