battery_id,cycle,observed,predicted,feature_set,length,baseline
4,155,0.9768821526515331,0.9763027615956125,M1,150,TS
4,156,0.9768383571915578,0.976080175071239,M1,150,TS
4,157,0.9771008112729221,0.975855910813918,M1,150,TS
4,158,0.9766433462641386,0.9756372380096421,M1,150,TS
4,159,0.9764710655576234,0.9754111252288148,M1,150,TS
4,160,0.9761497056640729,0.9751840272114833,M1,150,TS
4,161,0.9759204878059102,0.9749467945539186,M1,150,TS
4,162,0.9755304826807375,0.9746781395605498,M1,150,TS
4,163,0.9752868250272246,0.9744136569464502,M1,150,TS
4,164,0.9751039310436997,0.9741698043517494,M1,150,TS
4,165,0.9748326994872825,0.973937970040804,M1,150,TS
4,166,0.9745956570849166,0.9737280051121946,M1,150,TS
4,167,0.9745201302249025,0.9735274289854634,M1,150,TS
4,168,0.9746065450471004,0.9733391367195735,M1,150,TS
4,169,0.9742718804716919,0.9731440120125456,M1,150,TS
4,170,0.9737456352786511,0.9729577373538002,M1,150,TS
4,171,0.9733758712277756,0.9727103048740199,M1,150,TS
4,172,0.973068728226699,0.9724225807218104,M1,150,TS
4,173,0.9727661577049508,0.9721649112003001,M1,150,TS
4,174,0.9726141495290563,0.97191287394753,M1,150,TS
4,175,0.9727118741969064,0.9716636343205017,M1,150,TS
4,176,0.9721794294905961,0.9714324572972245,M1,150,TS
4,177,0.9718954140115266,0.9712260253962568,M1,150,TS
4,178,0.9719018732784592,0.9710405037241818,M1,150,TS
4,179,0.9714335255198636,0.970874607021813,M1,150,TS
4,180,0.9711578846154274,0.9707189958641633,M1,150,TS
4,181,0.9710944722638326,0.9705355672653906,M1,150,TS
4,182,0.9712193875545372,0.9703465629518698,M1,150,TS
4,183,0.9713507159747161,0.9701692356485289,M1,150,TS
4,184,0.9712892944760729,0.9699716627246738,M1,150,TS
4,185,0.9712462147908485,0.9697576090008238,M1,150,TS
4,186,0.9705731539231293,0.9695296003144486,M1,150,TS
4,187,0.970208754222414,0.9692884250317588,M1,150,TS
4,188,0.969988760236854,0.9690560136347416,M1,150,TS
4,189,0.9696206096996185,0.9688372485584185,M1,150,TS
4,190,0.9694751194696738,0.9686086077123636,M1,150,TS
4,191,0.9694240710464628,0.9683961744370821,M1,150,TS
4,192,0.969427668334244,0.9681400121846189,M1,150,TS
4,193,0.9693133233696938,0.9678671654128362,M1,150,TS
4,194,0.9689956572497094,0.9676204363842735,M1,150,TS
4,195,0.9687059737372188,0.9673419489155329,M1,150,TS
4,196,0.9684807897997224,0.9670923911231047,M1,150,TS
4,197,0.9682473872035253,0.9668465731765757,M1,150,TS
4,198,0.9680057659486249,0.966604495075943,M1,150,TS
4,199,0.9677559260350211,0.9663661568212067,M1,150,TS
4,200,0.9674978674627139,0.9661315584123669,M1,150,TS
6,151,0.996214505768315,0.9961749454504785,M1,150,TS
6,152,0.9961152328406796,0.9961519473297994,M1,150,TS
6,153,0.9960290888322142,0.9961248769898787,M1,150,TS
6,154,0.995956073742919,0.9960937344307164,M1,150,TS
6,155,0.9958961875727937,0.9960585196523123,M1,150,TS
6,156,0.9958494303218418,0.9960192326546694,M1,150,TS
6,157,0.9958599118207982,0.9959817511814795,M1,150,TS
6,158,0.9958456437304972,0.9959337666778406,M1,150,TS
6,159,0.9957704044573623,0.99588557226515,M1,150,TS
6,160,0.9958367240092967,0.9958284427249847,M1,150,TS
6,161,0.9957092218587607,0.9957741249341834,M1,150,TS
6,162,0.9956523449446865,0.9956936473705315,M1,150,TS
6,163,0.9955662274306651,0.9956196281204641,M1,150,TS
6,164,0.9955560027793754,0.9955618425661192,M1,150,TS
6,165,0.9955269016238708,0.9955155284276911,M1,150,TS
6,166,0.995515275555934,0.9954848078090923,M1,150,TS
6,167,0.995481363117343,0.9954634839594892,M1,150,TS
6,168,0.9952872254157735,0.995464701610946,M1,150,TS
6,169,0.9952152259768224,0.9954450619542765,M1,150,TS
6,170,0.9950931560869628,0.9954295503796108,M1,150,TS
6,171,0.994966603957919,0.9953768860697162,M1,150,TS
6,172,0.9949506503891471,0.995292641807091,M1,150,TS
6,173,0.9949255045077805,0.9952258226716106,M1,150,TS
6,174,0.9949507524984647,0.9951630719853148,M1,150,TS
6,175,0.9949436995335101,0.9951164313805305,M1,150,TS
6,176,0.9948553452856492,0.9950672554752631,M1,150,TS
6,177,0.994861288992555,0.9950393027707052,M1,150,TS
6,178,0.9947635411372995,0.995035305768904,M1,150,TS
6,179,0.9947687327438571,0.9950294335280807,M1,150,TS
6,180,0.9946547175698341,0.9950365682560554,M1,150,TS
6,181,0.9947522146500036,0.9950238217121844,M1,150,TS
6,182,0.9947288419621603,0.9950141914503744,M1,150,TS
6,183,0.9946594190966497,0.9950047312723814,M1,150,TS
6,184,0.9946131352370858,0.9949757357234619,M1,150,TS
6,185,0.9945569067396691,0.9949417171409448,M1,150,TS
6,186,0.9944554226729967,0.9948803707124647,M1,150,TS
6,187,0.994525445824341,0.99481527772634,M1,150,TS
6,188,0.9945312995670903,0.9947584766586121,M1,150,TS
6,189,0.9945035238085205,0.9947091752504333,M1,150,TS
6,190,0.9944937350335686,0.9946605253678406,M1,150,TS
6,191,0.994511069552142,0.9946247568333227,M1,150,TS
6,192,0.994354548788215,0.9945664053077936,M1,150,TS
6,193,0.9942082877615992,0.9944864377247239,M1,150,TS
6,194,0.9940660638765035,0.9944257195700541,M1,150,TS
6,195,0.9939285246499441,0.9943401391596787,M1,150,TS
6,196,0.9937872031503167,0.9942781773598961,M1,150,TS
6,197,0.9936459653173575,0.9942189841800805,M1,150,TS
6,198,0.9935048111510638,0.9941625596202289,M1,150,TS
6,199,0.9933637406514356,0.9941089036803413,M1,150,TS
6,200,0.9932227538184729,0.9940580163604179,M1,150,TS
7,151,0.9944063753831374,0.9949328177643079,M1,150,TS
7,152,0.9943518838933064,0.9948785153184029,M1,150,TS
7,153,0.9942924744859969,0.9948206102355794,M1,150,TS
7,154,0.994228147161209,0.9947591025158374,M1,150,TS
7,155,0.9941589019189425,0.9946939921591771,M1,150,TS
7,156,0.9940847387592003,0.9946252791656011,M1,150,TS
7,157,0.9939822863795954,0.9945606261858713,M1,150,TS
7,158,0.9939045656069894,0.994484137390802,M1,150,TS
7,159,0.9938651951227415,0.9944048969065515,M1,150,TS
7,160,0.9938035718599496,0.9943209321269946,M1,150,TS
7,161,0.9937610515371789,0.994234221571995,M1,150,TS
7,162,0.9937122760542119,0.9941230541956237,M1,150,TS
7,163,0.9936117741640667,0.994018965044652,M1,150,TS
7,164,0.9935157799849212,0.9939330549813126,M1,150,TS
7,165,0.9934154307549953,0.9938582911129648,M1,150,TS
7,166,0.9932585301429073,0.9938011672725316,M1,150,TS
7,167,0.9930649007415475,0.9937539638986974,M1,150,TS
7,168,0.9929202850425868,0.9937239492526582,M1,150,TS
7,169,0.9927678083195293,0.9936763758593792,M1,150,TS
7,170,0.9926517468134011,0.9936307621845086,M1,150,TS
7,171,0.9925164540284324,0.9935479186988889,M1,150,TS
7,172,0.9924355058928396,0.9934346389677651,M1,150,TS
7,173,0.9922633449048571,0.9933411317123587,M1,150,TS
7,174,0.9921366744906839,0.9932518734575799,M1,150,TS
7,175,0.9920620457932743,0.9931766678358229,M1,150,TS
7,176,0.991960224684306,0.9930975804844107,M1,150,TS
7,177,0.9917807998494718,0.993044276046485,M1,150,TS
7,178,0.991696715556144,0.9930099769657368,M1,150,TS
7,179,0.9916208230145287,0.9929763450378263,M1,150,TS
7,180,0.9915485975755082,0.9929526467092064,M1,150,TS
7,181,0.9915041139511117,0.9929135125534724,M1,150,TS
7,182,0.991437678959813,0.9928749831003503,M1,150,TS
7,183,0.9913197670728469,0.9928369199213122,M1,150,TS
7,184,0.9912539511914851,0.9927784356511954,M1,150,TS
7,185,0.9912096475888834,0.9927140774900488,M1,150,TS
7,186,0.9911403242141177,0.9926216613941627,M1,150,TS
7,187,0.9909881512914112,0.9925320038756963,M1,150,TS
7,188,0.9909081017447054,0.9924472467929492,M1,150,TS
7,189,0.9908380250579897,0.992368961896146,M1,150,TS
7,190,0.9907348827758002,0.9922925522710003,M1,150,TS
7,191,0.990680910982181,0.9922285859160331,M1,150,TS
7,192,0.9905315571703812,0.9921397797518823,M1,150,TS
7,193,0.9903770005332686,0.9920296693522134,M1,150,TS
7,194,0.9902430059030527,0.9919384539314183,M1,150,TS
7,195,0.9901456260555439,0.9918213290819929,M1,150,TS
7,196,0.9900206122761921,0.9917286443202596,M1,150,TS
7,197,0.9898951591915459,0.991638754551909,M1,150,TS
7,198,0.9897692668016028,0.9915516597769384,M1,150,TS
7,199,0.9896429351063629,0.9914673599953479,M1,150,TS
7,200,0.9895161641058261,0.9913858552071374,M1,150,TS
8,151,0.9894562866939769,0.9899694997984664,M1,150,TS
8,152,0.9892869391809709,0.9898535567877054,M1,150,TS
8,153,0.9891264737722718,0.9897336766928923,M1,150,TS
8,154,0.9889748904678795,0.9896098595140271,M1,150,TS
8,155,0.9888321892677938,0.98948210525111,M1,150,TS
8,156,0.9886983701720182,0.9893504139041437,M1,150,TS
8,157,0.988612998135234,0.9892211076194511,M1,150,TS
8,158,0.9884657605265808,0.9890817196243322,M1,150,TS
8,159,0.9883221445484542,0.9889406239263631,M1,150,TS
8,160,0.9881996969985829,0.9887936328977893,M1,150,TS
8,161,0.988043425315414,0.9886450817667866,M1,150,TS
8,162,0.9878153619489983,0.9884732421452356,M1,150,TS
8,163,0.987663659807816,0.9883053140921497,M1,150,TS
8,164,0.9875156075605755,0.9881557265374787,M1,150,TS
8,165,0.9873270466649591,0.9880181696979548,M1,150,TS
8,166,0.9871873160367632,0.9878958504194278,M1,150,TS
8,167,0.9870762836454232,0.987782122326107,M1,150,TS
8,168,0.9869386436403,0.9876875007308707,M1,150,TS
8,169,0.9867927268027747,0.9875751848035718,M1,150,TS
8,170,0.9866505942191186,0.9874656416283881,M1,150,TS
8,171,0.9865007607244951,0.987317977165473,M1,150,TS
8,172,0.986302968780101,0.9871420558478678,M1,150,TS
8,173,0.9861435659453623,0.9869830549929751,M1,150,TS
8,174,0.9859508344567336,0.9868305029139176,M1,150,TS
8,175,0.9857170247032094,0.9866945101712232,M1,150,TS
8,176,0.9854989411486601,0.9865533951226881,M1,150,TS
8,177,0.9853378399000858,0.9864349895749465,M1,150,TS
8,178,0.9851822150143007,0.9863382113850943,M1,150,TS
8,179,0.98501998496841,0.9862424954498004,M1,150,TS
8,180,0.9849044471712944,0.9861558500630272,M1,150,TS
8,181,0.9848004012787525,0.9860538444561927,M1,150,TS
8,182,0.9846632874079718,0.9859528371432745,M1,150,TS
8,183,0.9845620324189641,0.9858504768236973,M1,150,TS
8,184,0.9844446166266216,0.9857291206044048,M1,150,TS
8,185,0.9842672291286316,0.9856037751768275,M1,150,TS
8,186,0.9840657585920585,0.9854498277535674,M1,150,TS
8,187,0.983908876419124,0.9852954968252777,M1,150,TS
8,188,0.9837450136174848,0.9851483023516433,M1,150,TS
8,189,0.9835390637644426,0.985008983028715,M1,150,TS
8,190,0.9833286628583462,0.9848707620760602,M1,150,TS
8,191,0.9831152377668357,0.9847464840102098,M1,150,TS
8,192,0.9828710927346475,0.9845953908222574,M1,150,TS
8,193,0.9826470558178269,0.9844222639285717,M1,150,TS
8,194,0.9824686223560679,0.9842672861873297,M1,150,TS
8,195,0.9822446928402246,0.9840881794884779,M1,150,TS
8,196,0.9820476556594568,0.9839324516328808,M1,150,TS
8,197,0.9818597827823277,0.983779275610663,M1,150,TS
8,198,0.9816810742088343,0.9836286514218219,M1,150,TS
8,199,0.981511529938977,0.9834805790663574,M1,150,TS
8,200,0.9813511499727554,0.9833350585442696,M1,150,TS
12,151,0.9964391412129527,0.996247593366631,M1,150,TS
12,152,0.996449271339672,0.996222509755725,M1,150,TS
