held_out_battery,inner_baseline,selected_model,MAE,RMSE,MAE_pp,RMSE_pp,MAPE_percent,SOH_relative_agreement_percent,R2,E200_median,E200_q90,battery_RMSE_median,battery_RMSE_q90,battery_RMSE_max
33,TS,TS_ONLY,0.00022248907084368108,0.00027395517429088597,0.022248907084368108,0.027395517429088596,0.0223380751646049,99.97766192483539,0.7746008786119845,0.0006360303295931402,0.0006360303295931402,0.00027395517429088597,0.00027395517429088597,0.00027395517429088597
34,TS,TS_ONLY,0.00021036809899261267,0.00025439273016337484,0.021036809899261266,0.025439273016337485,0.02113762732913507,99.97886237267086,0.8439994968285447,4.153680746288302e-05,4.153680746288302e-05,0.00025439273016337484,0.00025439273016337484,0.00025439273016337484
35,TS,TS_ONLY,0.0005416833058216608,0.0006017675086967634,0.05416833058216608,0.060176750869676346,0.05603849407326505,99.94396150592674,0.962730732395407,0.0001909343608127445,0.0001909343608127445,0.0006017675086967634,0.0006017675086967634,0.0006017675086967634
36,TS,TS_ONLY,0.000176885771900388,0.00019907229760418086,0.0176885771900388,0.019907229760418085,0.017752593389662355,99.98224740661034,0.8633620499837531,0.000304897450724928,0.000304897450724928,0.00019907229760418086,0.00019907229760418086,0.00019907229760418086
37,TS,TS_ONLY,0.00022640340489233024,0.0002865914175482277,0.022640340489233024,0.02865914175482277,0.02274551761719275,99.9772544823828,0.6778761996217451,0.0004616026794516115,0.0004616026794516115,0.0002865914175482277,0.0002865914175482277,0.0002865914175482277
38,TS,TS_ONLY,0.00015560753558832018,0.00021735912819945287,0.015560753558832019,0.02173591281994529,0.015650564217757203,99.98434943578225,0.8567564171726967,0.0004322795777502719,0.0004322795777502719,0.00021735912819945287,0.00021735912819945287,0.00021735912819945287
39,TS,TS_ONLY,0.00017502795749555045,0.00021943346918996856,0.017502795749555045,0.021943346918996857,0.01758752712942013,99.98241247287058,0.8373625851210353,0.0003180306317235315,0.0003180306317235315,0.00021943346918996856,0.00021943346918996856,0.00021943346918996856
40,TS,TS_ONLY,5.513225190293847e-05,6.859225291353064e-05,0.005513225190293847,0.006859225291353063,0.005546411506308852,99.9944535884937,0.9897936696105326,2.279873038535385e-05,2.279873038535385e-05,6.859225291353064e-05,6.859225291353064e-05,6.859225291353064e-05
41,TS,TS_ONLY,0.00011087408979068903,0.0001302128777672404,0.011087408979068902,0.013021287776724039,0.011665952779175126,99.98833404722083,0.9415436196658119,9.640833871582544e-05,9.640833871582544e-05,0.00013021287776724042,0.00013021287776724042,0.00013021287776724042
42,TS,TS_ONLY,0.00017964548202374032,0.00022047690121865945,0.01796454820237403,0.022047690121865946,0.018023744284879857,99.98197625571513,0.6749424618974512,0.00039805284596150514,0.00039805284596150514,0.00022047690121865945,0.00022047690121865945,0.00022047690121865945
43,TS,TS_ONLY,0.0002444750357008219,0.0002908602811013232,0.02444750357008219,0.02908602811013232,0.02456494549012195,99.97543505450987,0.6320080583947962,0.0005480486777660332,0.0005480486777660332,0.00029086028110132314,0.00029086028110132314,0.00029086028110132314
44,TS,TS_ONLY,0.000435539872088766,0.0004522471818309936,0.0435539872088766,0.04522471818309936,0.04377668810543222,99.95622331189456,0.5600111707131782,0.0006753804963415266,0.0006753804963415266,0.0004522471818309936,0.0004522471818309936,0.0004522471818309936
45,TS,TS_ONLY,0.00013588584249202285,0.00017279405840000238,0.013588584249202285,0.017279405840000237,0.013627564173058422,99.98637243582694,0.8535994133859071,0.00017815994705661087,0.00017815994705661087,0.00017279405840000238,0.00017279405840000238,0.00017279405840000238
46,TS,TS_ONLY,0.0002252966723325045,0.00024573855012540314,0.02252966723325045,0.024573855012540315,0.022587045788619028,99.97741295421137,0.566526765864376,0.000130218419835626,0.000130218419835626,0.00024573855012540314,0.00024573855012540314,0.00024573855012540314
47,TS,TS_ONLY,0.0005649150676108383,0.000623036317672091,0.05649150676108383,0.0623036317672091,0.05665134958842222,99.94334865041158,-0.5906877507059409,0.001048924184522071,0.001048924184522071,0.000623036317672091,0.000623036317672091,0.000623036317672091
48,TS,TS_ONLY,0.0001474957621735551,0.0001848975975708717,0.01474957621735551,0.01848975975708717,0.014787371267864884,99.98521262873213,0.7385513532196131,0.00017088421691635602,0.00017088421691635602,0.00018489759757087167,0.00018489759757087167,0.00018489759757087167
49,TS,TS_ONLY,0.0003195789990564446,0.0004066337873006683,0.03195789990564446,0.040663378730066826,0.03204678202132813,99.96795321797867,0.21552516419544887,0.0010283359529068559,0.0010283359529068559,0.0004066337873006683,0.0004066337873006683,0.0004066337873006683
