C1,Q1,C2,T_theoretical_0_80,A,E_L_50,E_H_50,D_50,nearest_standardized_distance,A_z,D_z,selection_q50,selection_q90,selection_q95,point_prediction
4.4,34.0,5.3,9.843910806174957,4.9174999999999995,4.688000000000001,5.3,0.6119999999999992,1.4240478786646082,0.4601594196123233,1.0638969462511887,0.00010076077406886005,0.00011241719712101256,0.00011328835963819403,0.00010076156353308687
4.5,32.0,5.3,9.70062893081761,4.9799999999999995,4.788,5.3,0.5119999999999996,1.537670708306929,1.2445220666787749,0.9407607256202644,0.00012887154932004731,0.00014404690771351096,0.00014444878822855256,0.00012881901526146547
4.5,33.0,5.2,9.823076923076922,4.91125,4.7379999999999995,5.2,0.46200000000000063,1.636519865350068,0.3817231549056826,0.8791926153048033,9.241240300865985e-05,0.00010278473109356443,0.00010356342551891813,9.23945010976877e-05
4.5,33.0,5.3,9.720754716981133,4.97,4.772,5.3,0.5279999999999996,1.539841113723159,1.1190240431481453,0.9604625209212123,0.00012439974639545307,0.00013891329789647295,0.00013928881906850535,0.000124329822984925
4.5,34.0,5.2,9.841025641025642,4.902500000000001,4.724,5.2,0.476,1.6399175843815488,0.2719123843163901,0.896431686193132,8.847994996621351e-05,9.843594365074693e-05,9.931551444189259e-05,8.846645785571511e-05
4.5,34.0,5.3,9.740880503144655,4.96,4.756,5.3,0.5439999999999996,1.5434516738111976,0.9935260196175157,0.9801643162221603,0.0001199022327218371,0.00013379927585175361,0.00013420614959217214,0.00011984063070838454
4.5,35.0,5.2,9.858974358974361,4.89375,4.71,5.2,0.4900000000000002,1.644662598527001,0.1621016137270753,0.9136707570814617,8.455003724241867e-05,9.404521978821004e-05,9.504961388163924e-05,8.453841461374165e-05
4.6,30.0,5.2,9.68227424749164,4.975,4.84,5.2,0.3600000000000003,1.7530238516654486,1.1817730549134602,0.7535936702612597,0.00012106559110326286,0.00013515766764815384,0.00013567497479731257,0.00012101310186063373
4.6,31.0,5.2,9.69732441471572,4.9675,4.828,5.2,0.3719999999999999,1.7523886959611108,1.0876495372654935,0.7683700167369701,0.00011771054152849198,0.0001313252884478062,0.00013177328134335298,0.00011764620765322859
4.6,32.0,5.2,9.712374581939798,4.96,4.816,5.2,0.38400000000000034,1.7530238516654486,0.9935260196175157,0.7831463632126816,0.00011435554181894899,0.0001274722586631701,0.00012789924444646492,0.00011427931344582303
4.6,33.0,5.1,9.83375959079284,4.89375,4.77,5.1,0.33000000000000007,1.8409634786017501,0.1621016137270753,0.716652804071982,7.901090631970753e-05,8.752535407061313e-05,8.840215127758021e-05,7.897709735118011e-05
