draw,best_existing_prediction,optimized_candidate_prediction,candidate_minus_existing
218,1.60370734680541e-05,1.98165586014606e-05,3.7794851334065023e-06
219,2.284171869986958e-05,2.0155769024099927e-05,-2.685949675769653e-06
220,1.3788183034049035e-05,1.858692990103391e-05,4.798746866984874e-06
221,1.9753917167218436e-05,2.2312954645479698e-05,2.5590374782612616e-06
222,1.875795084264192e-05,2.071249523401267e-05,1.95454439137075e-06
223,2.302060087332037e-05,2.1365602323678712e-05,-1.6549985496416562e-06
224,2.0652857019076296e-05,2.1954651461099875e-05,1.3017944420235796e-06
225,2.136373791954962e-05,2.0196004820043474e-05,-1.1677330995061468e-06
226,2.5487931867600034e-05,2.410108647882061e-05,-1.3868453887794235e-06
227,2.5373326246101602e-05,2.1212541310992395e-05,-4.160784935109207e-06
228,2.119767210152645e-05,2.0545593015399143e-05,-6.520790861273055e-07
229,1.661794848351576e-05,2.097474292416966e-05,4.356794440653897e-06
230,2.2022523985644066e-05,2.1417178084814258e-05,-6.053459008298077e-07
231,1.9154728988617863e-05,2.19665405498496e-05,2.811811561231738e-06
232,2.0814214521327508e-05,1.9666135742781867e-05,-1.1480787785456408e-06
233,2.0538551506162603e-05,2.2042256508847115e-05,1.5037050026845126e-06
234,1.7661483720190008e-05,1.9635729736454963e-05,1.974246016264955e-06
235,2.245523677072092e-05,1.9646758692248716e-05,-2.8084780784722037e-06
236,1.9753621460335435e-05,2.1608941193309498e-05,1.8553197329740632e-06
237,2.3176100372405977e-05,2.226607508135788e-05,-9.10025291048098e-07
238,2.04582992673083e-05,2.389931966304467e-05,3.441020395736369e-06
239,2.122468546470324e-05,2.0161872153738795e-05,-1.0628133109644449e-06
240,2.3823043318191152e-05,2.580425860464728e-05,1.9812152864561293e-06
241,2.6143137793590378e-05,2.3508129936075892e-05,-2.6350078575144855e-06
242,1.5267748455990857e-05,1.9156306086604258e-05,3.888557630613401e-06
243,1.6946715507536835e-05,1.8404857366138848e-05,1.4581418586020122e-06
244,2.0139003608613884e-05,1.9149947973007305e-05,-9.890556356065786e-07
245,2.1832713062535573e-05,2.0892975092932965e-05,-9.397379696026077e-07
246,1.9860391348497197e-05,2.0639538703759908e-05,7.791473552627105e-07
247,1.994550246107169e-05,2.3995431230659034e-05,4.049928769587342e-06
248,2.2450974545039587e-05,1.9988387785415892e-05,-2.462586759623695e-06
249,2.2620409227258803e-05,2.1171539567327542e-05,-1.448869659931261e-06
250,2.048805869389293e-05,2.2023859963306267e-05,1.535801269413336e-06
251,1.4660191661689237e-05,2.0064512960590525e-05,5.404321298901287e-06
252,1.4986532071756671e-05,1.8929566045419895e-05,3.943033973663224e-06
253,2.152221349979098e-05,2.2334034455472336e-05,8.118209556813579e-07
254,1.8502999854715532e-05,1.771939776515573e-05,-7.836020895598014e-07
255,2.0645117276602444e-05,1.8590861970641677e-05,-2.0542553059607674e-06
