outer_battery_id,weight,inner_N,inner_median_relative_error,inner_mean_relative_error,selected
13,0.5,39,0.08750008989376096,0.1406353831400622,False
13,0.75,39,0.06877649370561417,0.1420199630087514,True
13,1.0,39,0.11643796940152241,0.23970245926115366,False
15,0.0,39,0.23775926733618613,0.2908811273186382,False
15,0.25,39,0.18896730761852895,0.20732617698045844,False
15,0.5,39,0.08968648956362821,0.1611210932921015,False
15,0.75,39,0.06877649370561417,0.18476715463760723,True
15,1.0,39,0.11888333610722451,0.3120670950806902,False
17,0.0,39,0.23775926733618613,0.290145023281105,False
17,0.25,39,0.17423200045659826,0.20502974488425546,False
17,0.5,39,0.0883371073979301,0.16052248828698606,False
17,0.75,39,0.06568959946751443,0.17733862183443952,True
17,1.0,39,0.11643796940152241,0.29779355555851855,False
18,0.0,39,0.2728492808760279,0.311538921725548,False
18,0.25,39,0.19355179068709083,0.21871713555044514,False
18,0.5,39,0.09128698927033818,0.16482143109410397,False
18,0.75,39,0.06568959946751443,0.18470519003628622,True
18,1.0,39,0.11643796940152241,0.31141502029193424,False
19,0.0,39,0.2711169785557774,0.2999985651382618,False
19,0.25,39,0.1816062759313122,0.21164096863717574,False
19,0.5,39,0.08968648956362821,0.16173562599953895,False
19,0.75,39,0.07136427900249198,0.18605316023036395,True
19,1.0,39,0.11888333610722451,0.31377541198515085,False
20,0.0,39,0.2433505668803114,0.2966910096515629,False
20,0.25,39,0.18896730761852895,0.20931057247611884,False
20,0.5,39,0.0883371073979301,0.15943952534435687,False
20,0.75,39,0.06877649370561417,0.1835811622062743,True
20,1.0,39,0.11888333610722451,0.313463534107508,False
21,0.0,39,0.3119878182031987,0.30961111517130685,False
21,0.25,39,0.21097622980602615,0.21854085570135454,False
21,0.5,39,0.10314803912295356,0.16650468329460413,False
21,0.75,39,0.06570956672325655,0.1835169548367965,True
21,1.0,39,0.11643796940152241,0.3111622179968605,False
22,0.0,39,0.2433505668803114,0.29098898489857855,False
22,0.25,39,0.1702942591316125,0.20394391372859924,False
22,0.5,39,0.0883371073979301,0.15640169281065044,False
22,0.75,39,0.06877649370561417,0.17239980488053397,True
22,1.0,39,0.11643796940152241,0.29455860920581467,False
23,0.0,39,0.3119614438817007,0.30712315377386384,False
23,0.25,39,0.19924390776823386,0.2166858683024663,False
23,0.5,39,0.09128698927033818,0.16473036786164555,False
23,0.75,39,0.06570956672325655,0.18404631785281295,True
23,1.0,39,0.11888333610722451,0.3128437245540382,False
26,0.0,39,0.23775926733618613,0.28484955371024423,False
26,0.25,39,0.15825864767055214,0.20031583656167828,False
26,0.5,39,0.0883371073979301,0.1541800581688397,False
26,0.75,39,0.06877649370561417,0.18077685204746088,True
26,1.0,39,0.11643796940152241,0.31100487340949917,False
27,0.0,39,0.23775926733618613,0.2711728475029232,False
27,0.25,39,0.17423200045659826,0.19364105438904042,False
27,0.5,39,0.08945952704438304,0.1576016340550855,False
27,0.75,39,0.06568959946751443,0.1779583374560425,True
27,1.0,39,0.11643796940152241,0.2918344452435519,False
28,0.0,39,0.2433505668803114,0.28500899021385717,False
28,0.25,39,0.1702942591316125,0.19704333315689404,False
28,0.5,39,0.08750008989376096,0.15003418023710013,False
28,0.75,39,0.07136427900249198,0.18058458681230177,True
28,1.0,39,0.11643796940152241,0.3025534284288896,False
29,0.0,39,0.27014780713201303,0.31145798059598273,False
29,0.25,39,0.19355179068709083,0.21781579011519667,False
29,0.5,39,0.09128698927033818,0.1643797873613471,False
29,0.75,39,0.06877649370561417,0.18608636679492088,True
29,1.0,39,0.11888333610722451,0.31437078844695304,False
30,0.0,38,0.2371567490092229,0.27841442435929475,False
30,0.25,38,0.16822497974349457,0.1970813351162073,False
30,0.5,38,0.08654627805598031,0.15438544186606548,False
30,0.75,38,0.0672330465865643,0.18497577946822585,True
30,1.0,38,0.11766065275437346,0.3171248496206535,False
31,0.0,39,0.2433505668803114,0.30348096072234004,False
31,0.25,39,0.18896730761852895,0.2126112237917996,False
31,0.5,39,0.08968648956362821,0.1604565124010581,False
31,0.75,39,0.06568959946751443,0.1850380114500007,True
31,1.0,39,0.11888333610722451,0.31279503664176933,False
32,0.0,39,0.23775926733618613,0.28259034731347216,False
32,0.25,39,0.15825864767055214,0.1994996032003904,False
32,0.5,39,0.0883371073979301,0.15448354534995845,False
32,0.75,39,0.06303446943767278,0.17961859949867065,True
32,1.0,39,0.11643796940152241,0.3092080774577415,False
33,0.0,39,0.3119614438817007,0.30839097349703837,False
33,0.25,39,0.19924390776823386,0.2177445026318964,False
33,0.5,39,0.09128698927033818,0.16560740584211778,False
33,0.75,39,0.06570956672325655,0.18476605794819173,True
33,1.0,39,0.11888333610722451,0.3122599038750823,False
34,0.0,39,0.23775926733618613,0.29165264638849225,False
34,0.25,39,0.18896730761852895,0.21034442897336428,False
34,0.5,39,0.08968648956362821,0.165876022785167,False
34,0.75,39,0.07136427900249198,0.18847544496825558,True
34,1.0,39,0.11643796940152241,0.3098237858652023,False
35,0.0,38,0.2371567490092229,0.27841442435929475,False
35,0.25,38,0.16822497974349457,0.1970813351162073,False
35,0.5,38,0.08654627805598031,0.15438544186606548,False
35,0.75,38,0.0672330465865643,0.18497577946822585,True
35,1.0,38,0.11766065275437346,0.3171248496206535,False
36,0.0,39,0.23775926733618613,0.28120788939130215,False
36,0.25,39,0.15825864767055214,0.19638218284199122,False
36,0.5,39,0.0869771646797669,0.15004743753638364,False
36,0.75,39,0.06303446943767278,0.17808457056398366,True
36,1.0,39,0.11888333610722451,0.3136101956450575,False
37,0.0,39,0.2433505668803114,0.296242833665659,False
37,0.25,39,0.17097076459102187,0.2072279556656963,False
37,0.5,39,0.0869771646797669,0.1568051734945811,False
37,0.75,39,0.06568959946751443,0.1799522482818542,True
37,1.0,39,0.11643796940152241,0.30929639137036125,False
38,0.0,39,0.26724247550005764,0.2992394598917213,False
38,0.25,39,0.1816062759313122,0.20963881447091554,False
38,0.5,39,0.08968648956362821,0.1583542296393139,False
38,0.75,39,0.06877649370561417,0.181143731453023,True
38,1.0,39,0.11643796940152241,0.3085512389730252,False
39,0.0,39,0.23775926733618613,0.2777014730908793,False
39,0.25,39,0.17423200045659826,0.19765384432497812,False
39,0.5,39,0.0883371073979301,0.15730095959141124,False
39,0.75,39,0.07136427900249198,0.1852380474000292,True
39,1.0,39,0.11643796940152241,0.3100119579126082,False
40,0.0,39,0.26690598117423614,0.31159992619013765,False
40,0.25,39,0.19355179068709083,0.21604497747863158,False
40,0.5,39,0.08968648956362821,0.160679380007998,False
40,0.75,39,0.06877649370561417,0.18116575736396195,True
40,1.0,39,0.11888333610722451,0.314372231766343,False
41,0.0,39,0.2433505668803114,0.29980814395047484,False
41,0.25,39,0.18896730761852895,0.2089393765641468,False
41,0.5,39,0.0869771646797669,0.1574163032970193,False
41,0.75,39,0.06568959946751443,0.17937220330298617,True
41,1.0,39,0.11643796940152241,0.30847592972918203,False
42,0.0,39,0.2433505668803114,0.29440059284672343,False
42,0.25,39,0.17097076459102187,0.20624784693313708,False
42,0.5,39,0.0869771646797669,0.1567778718311971,False
42,0.75,39,0.06568959946751443,0.18097602628741344,True
42,1.0,39,0.11888333610722451,0.3114777220023369,False
43,0.0,39,0.26724247550005764,0.29989921890606375,False
43,0.25,39,0.1816062759313122,0.20991300885338732,False
43,0.5,39,0.08968648956362821,0.15823354160981487,False
43,0.75,39,0.06877649370561417,0.18061863030637623,True
43,1.0,39,0.11643796940152241,0.3076119762287989,False
44,0.0,39,0.3119614438817007,0.30795855295140195,False
44,0.25,39,0.19924390776823386,0.2168551273247658,False
44,0.5,39,0.09128698927033818,0.16433944898358477,False
44,0.75,39,0.06568959946751443,0.18318804330417146,True
44,1.0,39,0.11888333610722451,0.31408820584690117,False
45,0.0,39,0.23775926733618613,0.29301319470330106,False
45,0.25,39,0.18896730761852895,0.2101011941647236,False
45,0.5,39,0.08968648956362821,0.16440195734141674,False
45,0.75,39,0.07136427900249198,0.18843671835907172,True
45,1.0,39,0.11888333610722451,0.31290099155831147,False
46,0.0,39,0.2433505668803114,0.2969694960043864,False
46,0.25,39,0.18896730761852895,0.2101936960695818,False
46,0.5,39,0.0883371073979301,0.16045638256433387,False
46,0.75,39,0.06877649370561417,0.18378765423761,True
46,1.0,39,0.11888333610722451,0.3128788699904632,False
47,0.0,39,0.2433505668803114,0.308053093555959,False
47,0.25,39,0.19355179068709083,0.2155008582678856,False
47,0.5,39,0.08968648956362821,0.16191671622754514,False
47,0.75,39,0.06568959946751443,0.18529053072485185,True
47,1.0,39,0.11888333610722451,0.3135562046782735,False
48,0.0,39,0.2711169785557774,0.3080807527597472,False
48,0.25,39,0.20274978117121334,0.21677672297036116,False
48,0.5,39,0.08968648956362821,0.16422540724302864,False
48,0.75,39,0.06877649370561417,0.18459009326878859,True
48,1.0,39,0.11888333610722451,0.31296972426297276,False
49,0.0,39,0.2433505668803114,0.29992959606395575,False
49,0.25,39,0.18896730761852895,0.21134266534906365,False
49,0.5,39,0.0883371073979301,0.16020948738456892,False
49,0.75,39,0.06568959946751443,0.18226170250368068,True
49,1.0,39,0.11643796940152241,0.3113549261294543,False
