battery_id,n0,fit_end,model,stable_slope,a,b,c,life,success,boundary,b_at_lower_bound,c_near_bound
7,31,150,linear,-4.062401809787153e-05,1.0014271027606394,-3.9211618618392956e-05,1.0,5136.92394901944,True,False,False,False
7,31,150,power,-4.062401809787153e-05,0.9995916302137017,1.116807139615161e-08,2.592021939207394,627.883616994135,True,False,False,False
7,31,150,centered_quadratic,-4.062401809787153e-05,0.9994449715127037,5.385422645317133e-10,3.3047112135956137e-07,807.862812936595,True,False,False,False
7,41,150,linear,-4.3438086709669494e-05,1.0019187363409665,-4.360196432239221e-05,1.0,4630.955037896519,True,False,False,False
7,41,150,power,-4.3438086709669494e-05,0.9998285842799426,4.7468328786358836e-08,2.309815537874444,737.6855755603639,True,False,False,False
7,41,150,centered_quadratic,-4.3438086709669494e-05,0.9995643221248314,1.2116759938077093e-05,2.888550860946361e-07,851.4829734685753,True,False,False,False
7,51,150,linear,-4.606855012986277e-05,1.002176940769409,-4.583342991246217e-05,1.0,4411.123958114179,True,False,False,False
7,51,150,power,-4.606855012986277e-05,0.9996804300348845,2.1113276746413113e-08,2.4670398384330268,672.3433114794536,True,False,False,False
7,51,150,centered_quadratic,-4.606855012986277e-05,0.9993021406083228,1.2937803245996936e-05,3.322790572374692e-07,806.2461910669076,True,False,False,False
8,11,150,linear,-7.27497882964925e-05,1.0023656010207658,-7.247180309149756e-05,1.0,2792.3356724721452,True,False,False,False
8,11,150,power,-7.27497882964925e-05,0.999874029949235,7.469135177748602e-08,2.363317895694774,524.4299208205441,True,False,False,False
8,11,150,centered_quadratic,-7.27497882964925e-05,0.9999378773155627,2.2579223309451174e-12,5.269987292855558e-07,626.9461613352646,True,False,False,False
8,21,150,linear,-7.888694960501957e-05,1.0030939440312654,-7.938116783890099e-05,1.0,2558.4650561381454,True,False,False,False
8,21,150,power,-7.888694960501957e-05,1.0000709987571756,1.3518647941890244e-07,2.2471830336836667,556.8925269175987,True,False,False,False
8,21,150,centered_quadratic,-7.888694960501957e-05,0.9998542560972375,5.661633022777544e-06,5.71469262140535e-07,607.4384959585221,True,False,False,False
8,31,150,linear,-8.487886412842494e-05,1.0037424948259972,-8.534111293510764e-05,1.0,2387.3897095872244,True,False,False,False
8,31,150,power,-8.487886412842494e-05,1.0001633629240756,1.731480630204922e-07,2.1989644076391,571.7312683355202,True,False,False,False
8,31,150,centered_quadratic,-8.487886412842494e-05,0.999788725781283,1.8822746304920146e-05,5.58977870842043e-07,612.2447017526937,True,False,False,False
8,41,150,linear,-9.026244100246233e-05,1.0043755851704796,-9.099034253814555e-05,1.0,2246.12392336912,True,False,False,False
8,41,150,power,-9.026244100246233e-05,1.0002145949169203,1.9718399249328808e-07,2.1736985662685306,579.8553963396218,True,False,False,False
8,41,150,centered_quadratic,-9.026244100246233e-05,0.9995608321051033,3.0759841354092205e-05,5.525734053583034e-07,614.7669239733145,True,False,False,False
8,51,150,linear,-9.595291089538681e-05,1.0049933983066575,-9.63380854111232e-05,1.0,2127.854185931215,True,False,False,False
8,51,150,power,-9.595291089538681e-05,1.000185543640053,1.8457538637783987e-07,2.1864590611513415,575.8230078709794,True,False,False,False
8,51,150,centered_quadratic,-9.595291089538681e-05,0.9991673101429921,4.044956657238023e-05,5.645304933210408e-07,610.2247201276185,True,False,False,False
9,11,150,linear,-8.17051353785559e-05,1.002556504627605,-7.967464832823438e-05,1.0,2542.2955592240105,True,False,False,False
9,11,150,power,-8.17051353785559e-05,1.0000075482716064,2.3473503949588654e-07,2.150910684561941,571.7281164842633,True,False,False,False
9,11,150,centered_quadratic,-8.17051353785559e-05,0.9998530570257508,8.257632887299579e-10,5.740394829458222e-07,601.043439834965,True,False,False,False
9,21,150,linear,-8.823529740462333e-05,1.0032986058902642,-8.671321897169724e-05,1.0,2344.493818833087,True,False,False,False
9,21,150,power,-8.823529740462333e-05,1.0002701308805935,4.410018675023755e-07,2.028069455555302,615.7988328935674,True,False,False,False
9,21,150,centered_quadratic,-8.823529740462333e-05,1.0000134084497085,1.8077913870918715e-05,5.320566286882316e-07,617.3738677824161,True,False,False,False
9,31,150,linear,-9.377881193558992e-05,1.003990035357848,-9.306912313317115e-05,1.0,2191.812155208143,True,False,False,False
9,31,150,power,-9.377881193558992e-05,1.000536144717496,7.620650758011137e-07,1.9222367187731608,660.2923620531158,True,False,False,False
9,31,150,centered_quadratic,-9.377881193558992e-05,0.9999823151220885,3.5988915406110656e-05,4.796656111519552e-07,640.26791983904,True,False,False,False
