battery_id,n0,model,cycle,observed,predicted
1,11,power,164,0.999940860696534,1.001368158817046
1,11,power,165,0.9996885162089997,1.0012654830365875
1,11,power,166,0.9999216817116944,1.0011607153606508
1,11,power,167,1.0005932631675036,1.001053826157123
1,11,power,168,1.0013679303061351,1.0009447855559008
1,11,power,169,1.0020708838385373,1.000833563448422
1,11,power,170,1.0030309268578446,1.0007201294871972
1,11,power,171,1.0023714359521643,1.0006044530853453
1,11,power,172,1.0006014508223022,1.0004865034161292
1,11,power,173,0.9996034070961728,1.0003662494124947
1,11,power,174,0.9986270177227583,1.0002436597666098
1,11,power,175,0.9980836122088909,1.0001187029294079
1,11,power,176,0.9978717048258827,0.9999913471101298
1,11,power,177,0.9980881334019138,0.9998615602758704
1,11,power,178,0.9987131474621992,0.999729310151125
1,11,power,179,0.9998235511188321,0.9995945642173389
1,11,power,180,1.0011065231854825,0.9994572897124575
1,11,power,181,1.0013771727680894,0.9993174536304784
1,11,power,182,1.0016764928582509,0.9991750227210061
1,11,power,183,1.0023240922011576,0.9990299634888068
1,11,power,184,1.0025496689705158,0.9988822421933663
1,11,power,185,1.0027810566496334,0.9987318248484484
1,11,power,186,1.0024387748845074,0.9985786772216557
1,11,power,187,1.0019669105501887,0.9984227648339918
1,11,power,188,1.001749130863073,0.9982640529594248
1,11,power,189,1.0018799043084554,0.9981025066244525
1,11,power,190,1.001666978040517,0.9979380906076696
1,11,power,191,1.0018924152574733,0.9977707694393356
1,11,power,192,1.0013201509165075,0.9976005074009453
1,11,power,193,1.0003872481179652,0.9974272685247996
1,11,power,194,0.999941113240662,0.9972510165935788
1,11,power,195,0.9986368612832792,0.9970717151399173
1,11,power,196,0.9980639123735556,0.9968893274459788
1,11,power,197,0.9975588394878703,0.9967038165430343
1,11,power,198,0.9971216426262207,0.9965151452110406
1,11,power,199,0.9967523217886071,0.9963232759782207
1,11,power,200,0.9964508769750292,0.9961281711206456
1,11,centered_quadratic,151,1.0035040341011485,1.003201308886918
1,11,centered_quadratic,152,1.003371233684344,1.0031695960167997
1,11,centered_quadratic,153,1.003249998700051,1.0031376574325181
1,11,centered_quadratic,154,1.0031403291482688,1.0031054931340735
1,11,centered_quadratic,155,1.0030422250289976,1.003073103121466
1,11,centered_quadratic,156,1.0029556863422409,1.0030404873946954
1,11,centered_quadratic,157,1.0029072943153923,1.0030076459537614
1,11,centered_quadratic,158,1.0029532296974646,1.0029745787986646
1,11,centered_quadratic,159,1.002855579373866,1.002941285929405
1,11,centered_quadratic,160,1.002860543825376,1.002907767345982
1,11,centered_quadratic,161,1.0025763543941397,1.0028740230483961
1,11,centered_quadratic,162,1.0014383798854618,1.0028400530366472
1,11,centered_quadratic,163,1.0004746427551507,1.0028058573107352
1,11,centered_quadratic,164,0.999940860696534,1.00277143587066
1,11,centered_quadratic,165,0.9996885162089997,1.002736788716422
1,11,centered_quadratic,166,0.9999216817116944,1.0027019158480208
1,11,centered_quadratic,167,1.0005932631675036,1.0026668172654567
1,11,centered_quadratic,168,1.0013679303061351,1.0026314929687294
1,11,centered_quadratic,169,1.0020708838385373,1.002595942957839
1,11,centered_quadratic,170,1.0030309268578446,1.0025601672327857
1,11,centered_quadratic,171,1.0023714359521643,1.0025241657935693
1,11,centered_quadratic,172,1.0006014508223022,1.00248793864019
1,11,centered_quadratic,173,0.9996034070961728,1.0024514857726474
1,11,centered_quadratic,174,0.9986270177227583,1.0024148071909416
1,11,centered_quadratic,175,0.9980836122088909,1.002377902895073
1,11,centered_quadratic,176,0.9978717048258827,1.0023407728850413
1,11,centered_quadratic,177,0.9980881334019138,1.0023034171608467
1,11,centered_quadratic,178,0.9987131474621992,1.002265835722489
1,11,centered_quadratic,179,0.9998235511188321,1.002228028569968
1,11,centered_quadratic,180,1.0011065231854825,1.0021899957032843
1,11,centered_quadratic,181,1.0013771727680894,1.0021517371224373
1,11,centered_quadratic,182,1.0016764928582509,1.0021132528274272
1,11,centered_quadratic,183,1.0023240922011576,1.0020745428182543
1,11,centered_quadratic,184,1.0025496689705158,1.0020356070949183
1,11,centered_quadratic,185,1.0027810566496334,1.001996445657419
1,11,centered_quadratic,186,1.0024387748845074,1.001957058505757
1,11,centered_quadratic,187,1.0019669105501887,1.0019174456399318
1,11,centered_quadratic,188,1.001749130863073,1.0018776070599436
1,11,centered_quadratic,189,1.0018799043084554,1.0018375427657922
1,11,centered_quadratic,190,1.001666978040517,1.0017972527574779
1,11,centered_quadratic,191,1.0018924152574733,1.0017567370350002
1,11,centered_quadratic,192,1.0013201509165075,1.0017159955983597
1,11,centered_quadratic,193,1.0003872481179652,1.0016750284475562
1,11,centered_quadratic,194,0.999941113240662,1.0016338355825896
1,11,centered_quadratic,195,0.9986368612832792,1.00159241700346
1,11,centered_quadratic,196,0.9980639123735556,1.0015507727101673
1,11,centered_quadratic,197,0.9975588394878703,1.0015089027027115
1,11,centered_quadratic,198,0.9971216426262207,1.0014668069810928
1,11,centered_quadratic,199,0.9967523217886071,1.001424485545311
1,11,centered_quadratic,200,0.9964508769750292,1.0013819383953662
1,21,linear,151,1.0035040341011485,1.0034503715939436
1,21,linear,152,1.003371233684344,1.0034305489640343
1,21,linear,153,1.003249998700051,1.003410726334125
1,21,linear,154,1.0031403291482688,1.0033909037042155
1,21,linear,155,1.0030422250289976,1.0033710810743062
1,21,linear,156,1.0029556863422409,1.0033512584443969
1,21,linear,157,1.0029072943153923,1.0033314358144874
1,21,linear,158,1.0029532296974646,1.003311613184578
1,21,linear,159,1.002855579373866,1.0032917905546688
1,21,linear,160,1.002860543825376,1.0032719679247595
1,21,linear,161,1.0025763543941397,1.00325214529485
1,21,linear,162,1.0014383798854618,1.0032323226649407
1,21,linear,163,1.0004746427551507,1.0032125000350314
1,21,linear,164,0.999940860696534,1.0031926774051219
1,21,linear,165,0.9996885162089997,1.0031728547752126
1,21,linear,166,0.9999216817116944,1.0031530321453033
1,21,linear,167,1.0005932631675036,1.003133209515394
